,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Mike Nugent (FA),33,38,86.8,49,0,14,5,14,0,0,0,16,113.0,7.1,1.0%
1,2,Dan Bailey (FA),32,37,86.5,51,1,8,11,10,2,0,0,16,110.0,6.9,0.0%
2,3,Graham Gano (NYG),31,41,75.6,59,0,14,5,8,4,0,0,16,109.0,6.8,34.3%
3,4,Robbie Gould (SF),28,32,87.5,57,0,10,6,7,5,0,0,16,101.0,6.3,11.3%
4,5,Stephen Gostkowski (FA),28,33,84.8,50,1,12,5,9,1,0,0,16,95.0,5.9,0.1%
5,6,Ryan Succop (TB),24,30,80.0,54,1,7,6,7,3,0,0,16,85.0,5.3,51.2%
6,7,Stephen Hauschka (FA),25,30,83.3,52,2,5,10,7,1,0,0,16,84.0,5.3,0.0%
7,8,Mason Crosby (GB),24,28,85.7,58,1,4,14,3,2,0,0,16,79.0,4.9,39.1%
8,9,Nick Folk (NE),19,25,76.0,51,0,5,6,5,3,0,0,16,68.0,4.3,77.6%
9,10,Matt Prater (ARI),19,25,76.0,59,0,5,8,3,3,0,0,16,66.0,4.1,71.9%
10,11,Jason Sanders (MIA),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.5%
11,12,Adam Vinatieri (FA),23,27,85.2,53,0,7,6,8,2,0,0,16,0.0,0.0,0.2%
12,13,Daniel Carlson (LV),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,66.0%
13,14,Younghoe Koo (ATL),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,54.4%
14,15,Harrison Butker (KC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,95.1%
15,16,Zane Gonzalez (CAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,15.1%
16,17,Jake Elliott (PHI),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.5%
17,18,Michael Badgley (IND),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,19.7%
18,19,Greg Joseph (MIN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,63.5%
19,20,Austin Seibert (DET),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
20,21,Tristan Vizcaino (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0%
21,22,Matt Gay (LAR),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,55.5%
22,23,Sam Ficken (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
23,24,Michael Palardy (MIA),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.3%
24,25,Jason Myers (SEA),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,22.9%
25,26,Ty Long (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7%
26,27,Ka'imi Fairbairn (HOU),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.4%
27,28,Jonathan Brown (JAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
28,29,Wil Lutz (NO),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.8%
29,30,Aldrick Rosas (DET),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.8%
30,31,Matthew Wright (JAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
31,32,Evan McPherson (CIN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,7.1%
32,33,Blake Haubeil (TEN),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
33,34,Riley Patterson (DET),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
34,35,Alex Kessman (LAC),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
35,36,Jose Borregales (TB),0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
