,Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC
,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Josh Gordon (KC),87,159,1646,18.9,95,30,9,5,88,0,0,14,314.4,22.5,2.3%
1,2,Antonio Brown (TB),110,166,1499,13.6,56,23,8,7,4,0,0,16,308.9,19.3,90.2%
2,3,A.J. Green (ARI),98,178,1426,14.6,82,18,11,0,0,0,0,16,306.6,19.2,40.0%
3,4,Dez Bryant (FA),93,160,1233,13.3,79,14,13,1,1,0,1,16,292.4,18.3,2.6%
4,5,Alshon Jeffery (FA),89,150,1421,16.0,80,20,7,16,105,0,1,16,283.6,17.7,0.0%
5,6,DeSean Jackson (LV),82,125,1332,16.2,61,25,9,3,2,0,0,16,269.4,16.8,4.1%
6,7,Julian Edelman (FA),105,151,1056,10.1,44,9,6,2,11,0,0,16,251.7,15.7,13.1%
7,8,Larry Fitzgerald (FA),82,134,954,11.6,75,11,10,2,8,0,1,16,236.2,14.8,0.2%
8,9,T.Y. Hilton (IND),82,138,1083,13.2,73,13,5,2,6,0,0,16,220.9,13.8,28.4%
9,10,Marvin Jones Jr. (JAC),51,80,712,14.0,45,10,10,8,65,0,0,16,188.7,11.8,70.3%
10,11,Golden Tate (FA),64,98,898,14.0,80,12,5,3,31,0,0,16,186.9,11.7,0.0%
11,12,Emmanuel Sanders (BUF),67,112,740,11.0,55,12,6,1,25,0,0,16,181.5,11.3,76.3%
12,13,DeAndre Hopkins (ARI),52,91,802,15.4,66,12,2,0,0,0,1,16,142.2,8.9,99.4%
13,14,Danny Amendola (HOU),54,83,633,11.7,57,8,2,1,1,0,0,12,129.4,10.8,0.2%
14,15,Kenny Stills (NO),32,50,641,20.0,76,7,5,3,10,0,0,16,127.1,7.9,0.1%
15,16,Ted Ginn Jr. (FA),36,68,556,15.4,47,10,5,4,29,0,0,16,124.5,7.8,0.0%
16,17,Robert Woods (LAR),40,85,587,14.7,57,9,3,2,16,0,0,14,120.3,8.6,42.8%
17,18,Julio Jones (TEN),41,60,580,14.1,81,9,2,1,7,0,1,5,109.7,21.9,69.4%
18,19,Randall Cobb (GB),31,47,433,14.0,48,6,4,4,78,0,0,6,106.1,17.7,14.5%
19,20,Mohamed Sanu Sr. (SF),47,78,455,9.7,32,4,2,4,16,0,1,16,105.1,6.6,0.1%
20,21,Andre Roberts (LAC),43,76,471,11.0,34,3,2,0,0,0,0,16,102.1,6.4,0.0%
21,22,Cole Beasley (BUF),39,54,368,9.4,23,2,2,0,0,0,0,14,87.8,6.3,73.7%
22,23,Marquise Goodwin (CHI),17,32,283,16.6,59,5,3,3,13,0,1,12,62.6,5.2,0.2%
23,24,Dwayne Harris (FA),9,14,80,8.9,24,1,2,1,6,0,1,13,27.6,2.1,0.0%
24,25,Chris Hogan (FA),10,17,83,8.3,16,0,0,0,0,0,0,16,18.3,1.1,0.0%
25,26,Travis Benjamin (SF),5,13,105,21.0,39,4,0,1,45,0,1,8,18.0,2.3,0.0%
26,27,Kabion Ento (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
27,28,Jody Fortson (KC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
28,29,Trinity Benson (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
29,30,Malik Taylor (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
30,31,Tyron Johnson (LV),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
31,32,Jeff Smith (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
32,33,Penny Hart (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
33,34,Malik Henry (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
34,35,Thomas Ives (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
35,36,D.J. Montgomery (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
36,37,Steven Sims Jr. (PIT),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
37,38,Jalen Guyton (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
38,39,Olamide Zaccheaus (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9%
39,40,Jason Moore Jr. (LAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
40,41,Nsimba Webster (CHI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
41,42,Alex Bachman (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
42,43,Deonte Harris (NO),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,12.9%
43,44,Jayson Stanley (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
44,45,John Ursua (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
45,46,Keelan Doss (NYJ),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
46,47,Cody Thompson (SEA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
47,48,Davion Davis (HOU),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
48,49,DeAndre Thompkins (GB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
49,50,Travis Fulgham (MIA),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
50,51,Terry McLaurin (WAS),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,98.9%
51,52,Parris Campbell (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,5.0%
52,53,Andy Isabella (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
53,54,Terry Godwin (JAC),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
54,55,David Sills V (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
55,56,Greg Dortch (ARI),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
56,57,Ashton Dulin (IND),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
57,58,Trenton Irwin (CIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
58,59,Tom Kennedy (DET),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
59,60,Scotty Miller (TB),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2%
60,61,Bisi Johnson (MIN),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%
61,62,Darius Slayton (NYG),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,4.7%
62,63,Quinton Bell (ATL),0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%
